name,telefono,email,direccion,codigo_postal,ciudad,web,Ayuda Legal,Empleo,Acogida,Lengua,Vivienda,Atencion Social,Mujeres,Salud,Educación no formal,Otros
ACCEM Catalunya,934099074,catalunya@accem.es,Casp 118 3 3a i 4a,8013,Barcelona,www.accem.es,sí,sí,sí,sí,si,sí,no,no,no,no
ACISI- Fundació CEPAIM Convivència i cohesió social.,93 487 38 16,acisi@acisi.org,Aragó 281 2n 2a,8009,Barcelona,http://cepaim.org/tag/acisi/,no,no,no,no,no,sí,no,no,no,no
Adoratrius _ SICAR cat,679 65 40 88 - emergencies,sicar@adoratrius.cat,Pg Sant Joan 75,8009,Barcelona,www.sicar.cat,sí,sí,sí,si,si,sí,sí,no,no,sí
"Amèrica-España, Solidaridad y Cooperación (AESCO)",93 603 59 59 / 605 80 97 11,secretaria.catalunya@ong-aesco.org,Gran via de les corts catalanes 922,8029,Barcelona,http://ong-aesco.org/,sí,sí,sí,no,no,sí,no,no,no,no
Anem per Feina. Coordinadora d'Inserció Sociolabora,93 443 30 40,anemperfeina@pangea.org;,Guàrdia 11,8001,Barcelona,www.anemperfeina.org,sí,sí,sí,no,no,no,sí,no,no,no
Apropem-nos (Xarxa d'entitats i serveis del Poblenou),932563872,puntacollida@yahoo.es,Rambla del Poblenou 49 1,8005,Barcelona,www.apropemnos.wordpress.com,sí,sí,sí,sí,no,no,sí,no,no,no
"As. Catalana integració d'homosexuals, bisexuals i transsexuals immigrants (ACATHI)",93 193 13 53,acathi@acathi.org;,Plç. Robert Gerhard (Centre cívic Bon pastor) 3 Baixos,8030,Barcelona,www.acathi.org,sí,si,sí,sí,si,si,si,no,si,no
Asociació AlterBcn,931718428,alterbcn@gmail.com,Comerç 42 1r,8003,Barcelona,https://asociacionalterbcn.wordpress.com,sí,no,no,no,no,no,no,no,no,no
Asociación de Hondureños en Barcelona,686 442 393,bcnhl@hotmail.com,Murillo 3 Local,8003,Barcelona,,sí,si,sí,sí,no,no,no,no,no,sí
Asociación Intercultural Latinoamericana Dosmundosmil,934197614,2mundosmil@gmail.com;,Nou de Sant Francesc 15 baixos,8002,Barcelona,,si,sí,sí,no,no,no,sí,no,no,sí
Asociación Puente Centro Cultural Árabe,645 92 45 47,asociacionpuente@almohager.org;,Gran Via de les Corts Catalanes 818 Local,8013,Barcelona,www.asociacionpuente.com,no,no,no,sí,no,sí,sí,no,no,no
Associació Intercultural Diàlegs de dona,665 875 483,info.dialegsdona@gmail.com,Carrer de les Tàpies 6,8001,,www.dialegsdona.org,no,no,sí,sí,no,no,sí,sí,no,no
Associació Amical dels Treballadors Marroquins de Catalunya,617 640 760,amicalmarroqui@yahoo.es,Carme 84 baixos,8001,Barcelona,http://www.amicalmarroqui.cat/,no,no,sí,sí,no,no,sí,no,no,no
Associació Assistencial Llar Trobada,93 418 50 54,llartrobada@live.com;,Avinguda República Argentina 190,8023,Barcelona,,no,no,sí,no,sí,sí,no,no,no,no
Associació Catalana de l'Hemofília,93 301 40 44,info@hemofilia.cat,Via Laietana 57 1r 1a,8003,Barcelona,www.hemofilia.cat,sí,sí,sí,sí,sí,no,no,sí,no,sí
Associació Catalana de Professionals de l'estrangeria- ACPE,932002406,acpe.extranjeria@gmail.com,Vía Laietana 45 5é 2ª,8003,,www.asociación-acpe.es,sí,no,no,no,no,no,no,no,no,no
Associació Cultural Idara Minhaj ul Quran (VIA DE LA PAZ),934 433 295,minhajbcn@gmail.com,Erasme de Janer 9 baixos,8001,Barcelona,,sí,no,sí,sí,no,no,no,no,no,no
